,Office,RaceDate,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,PopularRaceNotes,ElectoralRaceNotes,year
48,President,19681105,West Virginia,0,7,0,"754,206","307,555","Nixon, Richard M. ",Challenger,"374,091","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"72,560","Wallace, George C. ",Challenger,,,"66,536",D,40.78,49.6,9.62,0.0,45.12,54.88,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",,1968
49,President,19681105,Wisconsin,12,0,0,"1,691,538","809,997","Nixon, Richard M. ",Challenger,"748,804","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"127,835","Wallace, George C. ",Challenger,"4,902",,"61,193",R,47.89,44.27,7.56,0.29,51.96,48.04,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",,1968
50,President,19681105,Wyoming,3,0,0,"127,205","70,927","Nixon, Richard M. ",Challenger,"45,173","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"11,105","Wallace, George C. ",Challenger,,,"25,754",R,55.76,35.51,8.73,0.0,61.09,38.91,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",,1968
0,President,19721107,Alabama,9,0,0,"1,006,111","728,701","Nixon, Richard M. ",Incumbent,"256,923","McGovern, George S. ",Challenger,,,,,"20,487",,"471,778",R,72.43,25.54,0.0,2.04,73.93,26.07,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
1,President,19721107,Alaska,3,0,0,"95,219","55,349","Nixon, Richard M. ",Incumbent,"32,967","McGovern, George S. ",Challenger,,,,,"6,903",,"22,382",R,58.13,34.62,0.0,7.25,62.67,37.33,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
2,President,19721107,Arizona,6,0,0,"622,926","402,812","Nixon, Richard M. ",Incumbent,"198,540","McGovern, George S. ",Challenger,,,,,"21,574",,"204,272",R,64.66,31.87,0.0,3.46,66.98,33.02,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
3,President,19721107,Arkansas,6,0,0,"651,320","448,541","Nixon, Richard M. ",Incumbent,"199,892","McGovern, George S. ",Challenger,,,,,"2,887",,"248,649",R,68.87,30.69,0.0,0.44,69.17,30.83,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
4,President,19721107,California,45,0,0,"8,367,862","4,602,096","Nixon, Richard M. ",Incumbent,"3,475,847","McGovern, George S. ",Challenger,,,,,"289,919",,"1,126,249",R,55.0,41.54,0.0,3.46,56.97,43.03,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
5,President,19721107,Colorado,7,0,0,"953,884","597,189","Nixon, Richard M. ",Incumbent,"329,980","McGovern, George S. ",Challenger,,,,,"26,715",,"267,209",R,62.61,34.59,0.0,2.8,64.41,35.59,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
6,President,19721107,Connecticut,8,0,0,"1,384,277","810,763","Nixon, Richard M. ",Incumbent,"555,498","McGovern, George S. ",Challenger,,,,,"18,016",,"255,265",R,58.57,40.13,0.0,1.3,59.34,40.66,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
7,President,19721107,Delaware,3,0,0,"235,516","140,357","Nixon, Richard M. ",Incumbent,"92,283","McGovern, George S. ",Challenger,,,,,"2,876",,"48,074",R,59.6,39.18,0.0,1.22,60.33,39.67,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
8,President,19721107,District of Columbia,0,3,0,"163,421","35,226","Nixon, Richard M. ",Incumbent,"127,627","McGovern, George S. ",Challenger,,,,,568,,"92,401",D,21.56,78.1,0.0,0.35,21.63,78.37,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
9,President,19721107,Florida,17,0,0,"2,583,283","1,857,759","Nixon, Richard M. ",Incumbent,"718,117","McGovern, George S. ",Challenger,,,,,"7,407",,"1,139,642",R,71.91,27.8,0.0,0.29,72.12,27.88,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
10,President,19721107,Georgia,12,0,0,"1,174,772","881,496","Nixon, Richard M. ",Incumbent,"289,529","McGovern, George S. ",Challenger,,,,,"3,747",,"591,967",R,75.04,24.65,0.0,0.32,75.28,24.72,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
11,President,19721107,Hawaii,4,0,0,"270,274","168,865","Nixon, Richard M. ",Incumbent,"101,409","McGovern, George S. ",Challenger,,,,,,,"67,456",R,62.48,37.52,0.0,0.0,62.48,37.52,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
12,President,19721107,Idaho,4,0,0,"310,379","199,384","Nixon, Richard M. ",Incumbent,"80,826","McGovern, George S. ",Challenger,,,,,"30,169",,"118,558",R,64.24,26.04,0.0,9.72,71.16,28.84,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
13,President,19721107,Illinois,26,0,0,"4,723,236","2,788,179","Nixon, Richard M. ",Incumbent,"1,913,472","McGovern, George S. ",Challenger,,,,,"21,585",,"874,707",R,59.03,40.51,0.0,0.46,59.3,40.7,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
14,President,19721107,Indiana,13,0,0,"2,125,529","1,405,154","Nixon, Richard M. ",Incumbent,"708,568","McGovern, George S. ",Challenger,,,,,"11,807",,"696,586",R,66.11,33.34,0.0,0.56,66.48,33.52,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
15,President,19721107,Iowa,8,0,0,"1,225,944","706,207","Nixon, Richard M. ",Incumbent,"496,206","McGovern, George S. ",Challenger,,,,,"23,531",,"210,001",R,57.61,40.48,0.0,1.92,58.73,41.27,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
16,President,19721107,Kansas,7,0,0,"916,095","619,812","Nixon, Richard M. ",Incumbent,"270,287","McGovern, George S. ",Challenger,,,,,"25,996",,"349,525",R,67.66,29.5,0.0,2.84,69.63,30.37,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
17,President,19721107,Kentucky,9,0,0,"1,067,499","676,446","Nixon, Richard M. ",Incumbent,"371,159","McGovern, George S. ",Challenger,,,,,"19,894",,"305,287",R,63.37,34.77,0.0,1.86,64.57,35.43,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
18,President,19721107,Louisiana,10,0,0,"1,051,491","686,852","Nixon, Richard M. ",Incumbent,"298,142","McGovern, George S. ",Challenger,,,,,"66,497",,"388,710",R,65.32,28.35,0.0,6.32,69.73,30.27,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
19,President,19721107,Maine,4,0,0,"417,042","256,458","Nixon, Richard M. ",Incumbent,"160,584","McGovern, George S. ",Challenger,,,,,,,"95,874",R,61.49,38.51,0.0,0.0,61.49,38.51,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
20,President,19721107,Maryland,10,0,0,"1,353,812","829,305","Nixon, Richard M. ",Incumbent,"505,781","McGovern, George S. ",Challenger,,,,,"18,726",,"323,524",R,61.26,37.36,0.0,1.38,62.12,37.88,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
21,President,19721107,Massachusetts,0,14,0,"2,458,756","1,112,078","Nixon, Richard M. ",Incumbent,"1,332,540","McGovern, George S. ",Challenger,,,,,"14,138",,"220,462",D,45.23,54.2,0.0,0.58,45.49,54.51,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
22,President,19721107,Michigan,21,0,0,"3,489,727","1,961,721","Nixon, Richard M. ",Incumbent,"1,459,435","McGovern, George S. ",Challenger,,,,,"68,571",,"502,286",R,56.21,41.82,0.0,1.96,57.34,42.66,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
23,President,19721107,Minnesota,10,0,0,"1,741,652","898,269","Nixon, Richard M. ",Incumbent,"802,346","McGovern, George S. ",Challenger,,,,,"41,037",,"95,923",R,51.58,46.07,0.0,2.36,52.82,47.18,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
24,President,19721107,Mississippi,7,0,0,"645,963","505,125","Nixon, Richard M. ",Incumbent,"126,782","McGovern, George S. ",Challenger,,,,,"14,056",,"378,343",R,78.2,19.63,0.0,2.18,79.94,20.06,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
25,President,19721107,Missouri,12,0,0,"1,855,803","1,153,852","Nixon, Richard M. ",Incumbent,"697,147","McGovern, George S. ",Challenger,,,,,"4,804",,"456,705",R,62.18,37.57,0.0,0.26,62.34,37.66,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
26,President,19721107,Montana,4,0,0,"317,603","183,976","Nixon, Richard M. ",Incumbent,"120,197","McGovern, George S. ",Challenger,,,,,"13,430",,"63,779",R,57.93,37.85,0.0,4.23,60.48,39.52,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
27,President,19721107,Nebraska,5,0,0,"576,289","406,298","Nixon, Richard M. ",Incumbent,"169,991","McGovern, George S. ",Challenger,,,,,,,"236,307",R,70.5,29.5,0.0,0.0,70.5,29.5,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
28,President,19721107,Nevada,3,0,0,"181,766","115,750","Nixon, Richard M. ",Incumbent,"66,016","McGovern, George S. ",Challenger,,,,,,,"49,734",R,63.68,36.32,0.0,0.0,63.68,36.32,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
29,President,19721107,New Hampshire,4,0,0,"334,055","213,724","Nixon, Richard M. ",Incumbent,"116,435","McGovern, George S. ",Challenger,,,,,"3,896",,"97,289",R,63.98,34.86,0.0,1.17,64.73,35.27,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
30,President,19721107,New Jersey,17,0,0,"2,997,229","1,845,502","Nixon, Richard M. ",Incumbent,"1,102,211","McGovern, George S. ",Challenger,,,,,"49,516",,"743,291",R,61.57,36.77,0.0,1.65,62.61,37.39,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
31,President,19721107,New Mexico,4,0,0,"386,241","235,606","Nixon, Richard M. ",Incumbent,"141,084","McGovern, George S. ",Challenger,,,,,"9,551",,"94,522",R,61.0,36.53,0.0,2.47,62.55,37.45,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
32,President,19721107,New York,41,0,0,"7,165,919","4,192,778","Nixon, Richard M. ",Incumbent,"2,951,084","McGovern, George S. ",Challenger,,,,,"22,057",,"1,241,694",R,58.51,41.18,0.0,0.31,58.69,41.31,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
33,President,19721107,North Carolina,13,0,0,"1,518,612","1,054,889","Nixon, Richard M. ",Incumbent,"438,705","McGovern, George S. ",Challenger,,,,,"25,018",,"616,184",R,69.46,28.89,0.0,1.65,70.63,29.37,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
34,President,19721107,North Dakota,3,0,0,"280,514","174,109","Nixon, Richard M. ",Incumbent,"100,384","McGovern, George S. ",Challenger,,,,,"6,021",,"73,725",R,62.07,35.79,0.0,2.15,63.43,36.57,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
35,President,19721107,Ohio,25,0,0,"4,094,787","2,441,827","Nixon, Richard M. ",Incumbent,"1,558,889","McGovern, George S. ",Challenger,,,,,"94,071",,"882,938",R,59.63,38.07,0.0,2.3,61.03,38.97,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
36,President,19721107,Oklahoma,8,0,0,"1,029,900","759,025","Nixon, Richard M. ",Incumbent,"247,147","McGovern, George S. ",Challenger,,,,,"23,728",,"511,878",R,73.7,24.0,0.0,2.3,75.44,24.56,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
37,President,19721107,Oregon,6,0,0,"927,946","486,686","Nixon, Richard M. ",Incumbent,"392,760","McGovern, George S. ",Challenger,,,,,"48,500",,"93,926",R,52.45,42.33,0.0,5.23,55.34,44.66,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
38,President,19721107,Pennsylvania,27,0,0,"4,592,106","2,714,521","Nixon, Richard M. ",Incumbent,"1,796,951","McGovern, George S. ",Challenger,,,,,"80,634",,"917,570",R,59.11,39.13,0.0,1.76,60.17,39.83,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
39,President,19721107,Rhode Island,4,0,0,"415,808","220,383","Nixon, Richard M. ",Incumbent,"194,645","McGovern, George S. ",Challenger,,,,,780,,"25,738",R,53.0,46.81,0.0,0.19,53.1,46.9,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
40,President,19721107,South Carolina,8,0,0,"673,960","477,044","Nixon, Richard M. ",Incumbent,"186,824","McGovern, George S. ",Challenger,,,,,"10,092",,"290,220",R,70.78,27.72,0.0,1.5,71.86,28.14,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
41,President,19721107,South Dakota,4,0,0,"307,415","166,476","Nixon, Richard M. ",Incumbent,"139,945","McGovern, George S. ",Challenger,,,,,994,,"26,531",R,54.15,45.52,0.0,0.32,54.33,45.67,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
42,President,19721107,Tennessee,10,0,0,"1,201,182","813,147","Nixon, Richard M. ",Incumbent,"357,293","McGovern, George S. ",Challenger,,,,,"30,742",,"455,854",R,67.7,29.75,0.0,2.56,69.47,30.53,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
43,President,19721107,Texas,26,0,0,"3,471,285","2,298,896","Nixon, Richard M. ",Incumbent,"1,154,293","McGovern, George S. ",Challenger,,,,,"18,096",,"1,144,603",R,66.23,33.25,0.0,0.52,66.57,33.43,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
44,President,19721107,Utah,4,0,0,"478,476","323,643","Nixon, Richard M. ",Incumbent,"126,284","McGovern, George S. ",Challenger,,,,,"28,549",,"197,359",R,67.64,26.39,0.0,5.97,71.93,28.07,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
45,President,19721107,Vermont,3,0,0,"186,947","117,149","Nixon, Richard M. ",Incumbent,"68,174","McGovern, George S. ",Challenger,,,,,"1,624",,"48,975",R,62.66,36.47,0.0,0.87,63.21,36.79,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
46,President,19721107,Virginia,11,0,1,"1,457,019","988,493","Nixon, Richard M. ",Incumbent,"438,887","McGovern, George S. ",Challenger,,,,,"29,639",,"549,606",R,67.84,30.12,0.0,2.03,69.25,30.75,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
47,President,19721107,Washington,9,0,0,"1,470,847","837,135","Nixon, Richard M. ",Incumbent,"568,334","McGovern, George S. ",Challenger,,,,,"65,378",,"268,801",R,56.92,38.64,0.0,4.44,59.56,40.44,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
48,President,19721107,West Virginia,6,0,0,"762,399","484,964","Nixon, Richard M. ",Incumbent,"277,435","McGovern, George S. ",Challenger,,,,,,,"207,529",R,63.61,36.39,0.0,0.0,63.61,36.39,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
49,President,19721107,Wisconsin,11,0,0,"1,852,890","989,430","Nixon, Richard M. ",Incumbent,"810,174","McGovern, George S. ",Challenger,,,,,"53,286",,"179,256",R,53.4,43.72,0.0,2.88,54.98,45.02,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
50,President,19721107,Wyoming,3,0,0,"145,570","100,464","Nixon, Richard M. ",Incumbent,"44,358","McGovern, George S. ",Challenger,,,,,748,,"56,106",R,69.01,30.47,0.0,0.51,69.37,30.63,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1972
0,President,19761102,Alabama,0,9,0,"1,182,850","504,070","Ford, Gerald R. ",Incumbent,"659,170","Carter, Jimmy  ",Challenger,,,,,"19,610",,"155,100",D,42.61,55.73,0.0,1.66,43.33,56.67,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
1,President,19761102,Alaska,3,0,0,"123,574","71,555","Ford, Gerald R. ",Incumbent,"44,058","Carter, Jimmy  ",Challenger,,,,,"7,961",,"27,497",R,57.9,35.65,0.0,6.44,61.89,38.11,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
2,President,19761102,Arizona,6,0,0,"742,719","418,642","Ford, Gerald R. ",Incumbent,"295,602","Carter, Jimmy  ",Challenger,,,,,"28,475",,"123,040",R,56.37,39.8,0.0,3.83,58.61,41.39,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
3,President,19761102,Arkansas,0,6,0,"767,535","267,903","Ford, Gerald R. ",Incumbent,"498,604","Carter, Jimmy  ",Challenger,,,,,"1,028",,"230,701",D,34.9,64.96,0.0,0.13,34.95,65.05,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
4,President,19761102,California,45,0,0,"7,867,117","3,882,244","Ford, Gerald R. ",Incumbent,"3,742,284","Carter, Jimmy  ",Challenger,,,,,"242,589",,"139,960",R,49.35,47.57,0.0,3.08,50.92,49.08,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
5,President,19761102,Colorado,7,0,0,"1,081,554","584,367","Ford, Gerald R. ",Incumbent,"460,353","Carter, Jimmy  ",Challenger,,,,,"36,834",,"124,014",R,54.03,42.56,0.0,3.41,55.94,44.06,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
6,President,19761102,Connecticut,8,0,0,"1,381,526","719,261","Ford, Gerald R. ",Incumbent,"647,895","Carter, Jimmy  ",Challenger,,,,,"14,370",,"71,366",R,52.06,46.9,0.0,1.04,52.61,47.39,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
7,President,19761102,Delaware,0,3,0,"235,834","109,831","Ford, Gerald R. ",Incumbent,"122,596","Carter, Jimmy  ",Challenger,,,,,"3,407",,"12,765",D,46.57,51.98,0.0,1.44,47.25,52.75,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
8,President,19761102,District of Columbia,0,3,0,"168,830","27,873","Ford, Gerald R. ",Incumbent,"137,818","Carter, Jimmy  ",Challenger,,,,,"3,139",,"109,945",D,16.51,81.63,0.0,1.86,16.82,83.18,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
9,President,19761102,Florida,0,17,0,"3,150,631","1,469,531","Ford, Gerald R. ",Incumbent,"1,636,000","Carter, Jimmy  ",Challenger,,,,,"45,100",,"166,469",D,46.64,51.93,0.0,1.43,47.32,52.68,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
10,President,19761102,Georgia,0,12,0,"1,467,458","483,743","Ford, Gerald R. ",Incumbent,"979,409","Carter, Jimmy  ",Challenger,,,,,"4,306",,"495,666",D,32.96,66.74,0.0,0.29,33.06,66.94,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
11,President,19761102,Hawaii,0,4,0,"291,301","140,003","Ford, Gerald R. ",Incumbent,"147,375","Carter, Jimmy  ",Challenger,,,,,"3,923",,"7,372",D,48.06,50.59,0.0,1.35,48.72,51.28,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
12,President,19761102,Idaho,4,0,0,"344,071","204,151","Ford, Gerald R. ",Incumbent,"126,549","Carter, Jimmy  ",Challenger,,,,,"13,371",,"77,602",R,59.33,36.78,0.0,3.89,61.73,38.27,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
13,President,19761102,Illinois,26,0,0,"4,718,914","2,364,269","Ford, Gerald R. ",Incumbent,"2,271,295","Carter, Jimmy  ",Challenger,,,,,"83,350",,"92,974",R,50.1,48.13,0.0,1.77,51.0,49.0,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
14,President,19761102,Indiana,13,0,0,"2,220,362","1,183,958","Ford, Gerald R. ",Incumbent,"1,014,714","Carter, Jimmy  ",Challenger,,,,,"21,690",,"169,244",R,53.32,45.7,0.0,0.98,53.85,46.15,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
15,President,19761102,Iowa,8,0,0,"1,279,306","632,863","Ford, Gerald R. ",Incumbent,"619,931","Carter, Jimmy  ",Challenger,,,,,"26,512",,"12,932",R,49.47,48.46,0.0,2.07,50.52,49.48,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
16,President,19761102,Kansas,7,0,0,"957,845","502,752","Ford, Gerald R. ",Incumbent,"430,421","Carter, Jimmy  ",Challenger,,,,,"24,672",,"72,331",R,52.49,44.94,0.0,2.58,53.88,46.12,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
17,President,19761102,Kentucky,0,9,0,"1,167,142","531,852","Ford, Gerald R. ",Incumbent,"615,717","Carter, Jimmy  ",Challenger,,,,,"19,573",,"83,865",D,45.57,52.75,0.0,1.68,46.35,53.65,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
18,President,19761102,Louisiana,0,10,0,"1,278,539","587,446","Ford, Gerald R. ",Incumbent,"661,365","Carter, Jimmy  ",Challenger,,,,,"29,728",,"73,919",D,45.95,51.73,0.0,2.33,47.04,52.96,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
19,President,19761102,Maine,4,0,0,"483,216","236,320","Ford, Gerald R. ",Incumbent,"232,279","Carter, Jimmy  ",Challenger,,,,,"14,617",,"4,041",R,48.91,48.07,0.0,3.02,50.43,49.57,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
20,President,19761102,Maryland,0,10,0,"1,439,897","672,661","Ford, Gerald R. ",Incumbent,"759,612","Carter, Jimmy  ",Challenger,,,,,"7,624",,"86,951",D,46.72,52.75,0.0,0.53,46.96,53.04,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
21,President,19761102,Massachusetts,0,14,0,"2,547,558","1,030,276","Ford, Gerald R. ",Incumbent,"1,429,475","Carter, Jimmy  ",Challenger,,,,,"87,807",,"399,199",D,40.44,56.11,0.0,3.45,41.89,58.11,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
22,President,19761102,Michigan,21,0,0,"3,653,749","1,893,742","Ford, Gerald R. ",Incumbent,"1,696,714","Carter, Jimmy  ",Challenger,,,,,"63,293",,"197,028",R,51.83,46.44,0.0,1.73,52.74,47.26,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
23,President,19761102,Minnesota,0,10,0,"1,949,931","819,395","Ford, Gerald R. ",Incumbent,"1,070,440","Carter, Jimmy  ",Challenger,,,,,"60,096",,"251,045",D,42.02,54.9,0.0,3.08,43.36,56.64,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
24,President,19761102,Mississippi,0,7,0,"769,361","366,846","Ford, Gerald R. ",Incumbent,"381,309","Carter, Jimmy  ",Challenger,,,,,"21,206",,"14,463",D,47.68,49.56,0.0,2.76,49.03,50.97,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
25,President,19761102,Missouri,0,12,0,"1,953,600","927,443","Ford, Gerald R. ",Incumbent,"998,387","Carter, Jimmy  ",Challenger,,,,,"27,770",,"70,944",D,47.47,51.1,0.0,1.42,48.16,51.84,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",,1976
